LISTING_ID,SCRAPE_ID,SCRAPED_DATE,HOST_ID,HOST_NAME,HOST_SINCE,HOST_IS_SUPERHOST,HOST_NEIGHBOURHOOD,LISTING_NEIGHBOURHOOD,PROPERTY_TYPE,ROOM_TYPE,ACCOMMODATES,PRICE,HAS_AVAILABILITY,AVAILABILITY_30,NUMBER_OF_REVIEWS,REVIEW_SCORES_RATING,REVIEW_SCORES_ACCURACY,REVIEW_SCORES_CLEANLINESS,REVIEW_SCORES_CHECKIN,REVIEW_SCORES_COMMUNICATION,REVIEW_SCORES_VALUE
11156,20200000000000,2021-04-12,40855,Colleen,23/9/2009,f,Potts Point,Sydney,Private room in apartment,Private room,1,65,t,29,196,92,10,9,10,10,10
12351,20200000000000,2021-04-15,17061,Stuart,14/5/2009,f,Pyrmont,Sydney,Private room in townhouse,Private room,2,14315,t,0,526,95,10,10,10,10,10
14250,20200000000000,2021-04-14,55948,Heidi,20/11/2009,t,Balgowlah,Northern Beaches,Entire house,Entire home/apt,6,470,t,0,2,90,8,8,9,8,8
15253,20200000000000,2021-04-12,59850,Morag,3/12/2009,f,Darlinghurst,Sydney,Private room in apartment,Private room,2,80,t,21,367,88,10,9,10,10,9
44545,20200000000000,2021-04-13,112237,Atari,22/4/2010,t,Darlinghurst,Sydney,Entire loft,Entire home/apt,2,130,t,0,76,97,10,10,10,10,10
58506,20200000000000,2021-04-15,279955,John,6/11/2010,t,Mosman,Mosman,Entire house,Entire home/apt,4,140,t,0,286,91,9,9,10,10,9
61721,20200000000000,2021-04-11,299170,Eilish,25/11/2010,t,Bondi Beach,Waverley,Entire apartment,Entire home/apt,4,245,t,0,32,88,9,7,10,10,9
65126,20200000000000,2021-04-11,318390,Nicolette,14/12/2010,f,Bondi Beach,Waverley,Entire apartment,Entire home/apt,4,170,t,0,13,91,9,9,10,9,9
66009,20200000000000,2021-04-11,322887,Belinda,19/12/2010,f,Paddington,Woollahra,Private room in apartment,Private room,4,90,t,0,1,100,10,10,10,10,10
67112,20200000000000,2021-04-12,160705,Liz,7/7/2010,f,Marrickville,Inner West,Private room in house,Private room,2,75,t,28,23,96,10,10,10,10,10
68999,20200000000000,2021-04-12,333581,Bryan,3/1/2011,t,,Hornsby,Private room in house,Private room,4,85,t,24,58,99,10,10,10,10,10
69121,20200000000000,2021-04-12,345292,Pamela,12/1/2011,f,,Northern Beaches,Entire apartment,Entire home/apt,2,110,t,30,0,,,,,,
69956,20200000000000,2021-04-13,352614,Ben,18/1/2011,t,Bardwell Valley,Bayside,Entire guest suite,Entire home/apt,4,99,t,25,43,97,10,10,10,10,10
