LISTING_ID,SCRAPE_ID,SCRAPED_DATE,HOST_ID,HOST_NAME,HOST_SINCE,HOST_IS_SUPERHOST,HOST_NEIGHBOURHOOD,LISTING_NEIGHBOURHOOD,PROPERTY_TYPE,ROOM_TYPE,ACCOMMODATES,PRICE,HAS_AVAILABILITY,AVAILABILITY_30,NUMBER_OF_REVIEWS,REVIEW_SCORES_RATING,REVIEW_SCORES_ACCURACY,REVIEW_SCORES_CLEANLINESS,REVIEW_SCORES_CHECKIN,REVIEW_SCORES_COMMUNICATION,REVIEW_SCORES_VALUE
11156,20200000000000,2020-06-11,40855,Colleen,23/9/2009,f,Potts Point,Sydney,Apartment,Private room,1,64,t,29,196,92,10,9,10,10,10
12351,20200000000000,2020-06-11,17061,Stuart,14/5/2009,f,Pyrmont,Sydney,Townhouse,Private room,2,14314,t,0,526,95,10,10,10,10,10
14250,20200000000000,2020-06-12,55948,Heidi,20/11/2009,t,Balgowlah,Northern Beaches,House,Entire home/apt,6,471,t,0,2,90,8,8,9,8,8
44545,20200000000000,2020-06-11,112237,Atari,22/4/2010,t,Darlinghurst,Sydney,Loft,Entire home/apt,2,130,t,0,76,97,10,10,10,10,10
58506,20200000000000,2020-06-12,279955,John,6/11/2010,f,Mosman,Mosman,House,Entire home/apt,4,140,t,9,280,91,9,9,10,10,9
61721,20200000000000,2020-06-11,299170,Eilish,25/11/2010,f,Bondi Beach,Waverley,Apartment,Entire home/apt,4,245,t,29,32,88,9,7,10,10,9
65126,20200000000000,2020-06-11,318390,Nicolette,14/12/2010,f,Bondi Beach,Waverley,Apartment,Entire home/apt,4,170,t,0,13,91,9,9,10,9,9
66009,20200000000000,2020-06-11,322887,Belinda,19/12/2010,f,Paddington,Woollahra,Apartment,Private room,4,100,t,0,1,100,10,10,10,10,10
66158,20200000000000,2020-06-11,323771,Maxine,20/12/2010,f,Elizabeth Bay,Sydney,Apartment,Entire home/apt,1,80,t,30,15,78,9,9,9,10,9
66170,20200000000000,2020-06-11,16474,Anand,10/5/2009,f,Ultimo,Sydney,Apartment,Entire home/apt,4,190,t,0,2,70,8,8,9,10,8
67112,20200000000000,2020-06-12,160705,Liz,7/7/2010,f,Marrickville,Inner West,House,Private room,2,75,t,28,23,96,10,10,10,10,10
68999,20200000000000,2020-06-12,333581,Bryan,3/1/2011,t,Sydney,Hornsby,House,Private room,4,88,t,30,52,99,10,10,10,10,10
69121,20200000000000,2020-06-12,345292,Pamela,12/1/2011,f,,Northern Beaches,Apartment,Entire home/apt,2,110,t,6,0,,,,,,
69956,20200000000000,2020-06-12,352614,Ben,18/1/2011,t,Bardwell Valley,Bayside,Guest suite,Entire home/apt,4,90,t,0,40,97,10,10,10,10,10
71866,20200000000000,2020-06-11,292913,Maz,20/11/2010,t,Randwick,Randwick,Apartment,Entire home/apt,4,184,t,30,6,76,10,9,10,8,7
73628,20200000000000,2020-06-11,385108,Dan,10/2/2011,f,Bondi Beach,Waverley,Apartment,Private room,2,64,t,0,8,95,10,10,10,10,10
73639,20200000000000,2020-06-11,17061,Stuart,14/5/2009,f,Pyrmont,Sydney,Townhouse,Private room,2,14314,t,0,386,96,10,10,10,10,10
75702,20200000000000,2020-06-12,402292,Helen,21/2/2011,t,Malabar,Randwick,Apartment,Entire home/apt,2,117,t,0,260,99,10,10,10,10,10
79624,20200000000000,2020-06-12,429171,Jude,7/3/2011,f,Neutral Bay,North Sydney,House,Private room,1,85,t,23,93,99,10,10,10,10,10
79912,20200000000000,2020-06-11,431242,Karen,8/3/2011,f,Bronte,Waverley,Apartment,Entire home/apt,4,295,t,30,17,95,10,10,10,10,9
80470,20200000000000,2020-06-12,434914,James,10/3/2011,f,Neutral Bay,North Sydney,Townhouse,Entire home/apt,5,400,t,0,6,100,10,9,10,9,10
86853,20200000000000,2020-06-11,476047,Ann,31/3/2011,f,Bondi,Waverley,Apartment,Entire home/apt,4,199,t,28,111,91,9,9,10,9,9
87634,20200000000000,2020-06-11,453466,Jude,20/3/2011,f,Rosebery,Sydney,Apartment,Private room,1,89,t,28,52,96,10,10,10,10,10
87709,20200000000000,2020-06-12,480315,Marianne,3/4/2011,t,,Northern Beaches,House,Private room,1,69,t,4,128,99,10,10,10,10,10
92853,20200000000000,2020-06-12,407155,Nicole,23/2/2011,f,Balmain,Inner West,House,Entire home/apt,6,400,t,0,10,93,10,9,10,10,9
103273,20200000000000,2020-06-11,172878,Christopher,19/7/2010,f,North Bondi,Waverley,Apartment,Entire home/apt,4,250,t,0,65,90,9,9,10,10,9
104380,20200000000000,2020-06-11,543277,Joseph,28/4/2011,t,Bondi Beach,Waverley,Apartment,Entire home/apt,4,170,t,0,15,92,9,9,10,10,8
104393,20200000000000,2020-06-11,543277,Joseph,28/4/2011,t,Bondi Beach,Waverley,Apartment,Entire home/apt,5,199,t,30,83,96,10,9,10,10,9
105938,20200000000000,2020-06-12,549372,Susanne,1/5/2011,f,,Northern Beaches,House,Entire home/apt,4,190,t,23,10,100,10,10,10,10,10
