LISTING_ID,SCRAPE_ID,SCRAPED_DATE,HOST_ID,HOST_NAME,HOST_SINCE,HOST_IS_SUPERHOST,HOST_NEIGHBOURHOOD,LISTING_NEIGHBOURHOOD,PROPERTY_TYPE,ROOM_TYPE,ACCOMMODATES,PRICE,HAS_AVAILABILITY,AVAILABILITY_30,NUMBER_OF_REVIEWS,REVIEW_SCORES_RATING,REVIEW_SCORES_ACCURACY,REVIEW_SCORES_CLEANLINESS,REVIEW_SCORES_CHECKIN,REVIEW_SCORES_COMMUNICATION,REVIEW_SCORES_VALUE
11156,20210100000000,2021-01-13,40855,Colleen,23/9/2009,f,Potts Point,Sydney,Private room in apartment,Private room,1,65,t,1,196,92,10,9,10,10,10
12351,20210100000000,2021-01-11,17061,Stuart,14/5/2009,f,Pyrmont,Sydney,Private room in townhouse,Private room,2,14315,t,0,526,95,10,10,10,10,10
14250,20210100000000,2021-01-13,55948,Heidi,20/11/2009,t,Balgowlah,Northern Beaches,Entire house,Entire home/apt,6,470,t,1,2,90,8,8,9,8,8
15253,20210100000000,2021-01-12,59850,Morag,3/12/2009,f,Darlinghurst,Sydney,Private room in apartment,Private room,2,110,t,30,365,88,10,9,10,10,9
44545,20210100000000,2021-01-13,112237,Atari,22/4/2010,t,Darlinghurst,Sydney,Entire loft,Entire home/apt,2,130,t,0,76,97,10,10,10,10,10
58506,20210100000000,2021-01-11,279955,John,6/11/2010,f,Mosman,Mosman,Entire house,Entire home/apt,4,150,t,0,285,91,9,9,10,10,9
59297,20210100000000,2021-01-12,284711,Isabel,11/11/2010,t,Alexandria,Sydney,Entire house,Entire home/apt,7,370,t,14,8,93,10,9,10,10,9
61721,20210100000000,2021-01-12,299170,Eilish,25/11/2010,t,Bondi Beach,Waverley,Entire apartment,Entire home/apt,4,245,t,1,32,88,9,7,10,10,9
65126,20210100000000,2021-01-11,318390,Nicolette,14/12/2010,f,Bondi Beach,Woollahra,Entire apartment,Entire home/apt,4,170,t,0,13,91,9,9,10,9,9
66009,20210100000000,2021-01-13,322887,Belinda,19/12/2010,f,Paddington,Woollahra,Private room in apartment,Private room,4,90,t,0,1,100,10,10,10,10,10
66158,20210100000000,2021-01-11,323771,Maxine,20/12/2010,t,Elizabeth Bay,Sydney,Entire apartment,Entire home/apt,1,60,t,12,16,80,9,9,9,10,9
67112,20210100000000,2021-01-11,160705,Liz,7/7/2010,f,Marrickville,Inner West,Private room in house,Private room,2,75,t,28,23,96,10,10,10,10,10
68999,20210100000000,2021-01-13,333581,Bryan,3/1/2011,t,Sydney,Hornsby,Private room in house,Private room,4,49,t,30,46,99,10,10,10,10,10
69121,20210100000000,2021-01-12,345292,Pamela,12/1/2011,f,,Northern Beaches,Entire apartment,Entire home/apt,2,110,t,30,0,,,,,,
69956,20210100000000,2021-01-14,352614,Ben,18/1/2011,t,Bardwell Valley,Bayside,Entire guest suite,Entire home/apt,4,99,t,11,43,97,10,10,10,10,10
71866,20210100000000,2021-01-13,292913,Maz,20/11/2010,f,Randwick,Randwick,Entire apartment,Entire home/apt,4,264,t,0,7,80,10,9,10,9,8
73628,20210100000000,2021-01-14,385108,Dan,10/2/2011,f,Bondi Beach,Woollahra,Private room in apartment,Private room,2,71,t,0,8,95,10,10,10,10,10
73639,20210100000000,2021-01-14,17061,Stuart,14/5/2009,f,Pyrmont,Sydney,Private room in townhouse,Private room,2,14315,t,0,386,96,10,10,10,10,10
75702,20210100000000,2021-01-12,402292,Helen,21/2/2011,t,Malabar,Randwick,Entire apartment,Entire home/apt,2,133,t,0,277,99,10,10,10,10,10
79624,20210100000000,2021-01-13,429171,Jude,7/3/2011,f,Neutral Bay,North Sydney,Private room in house,Private room,1,75,t,1,93,99,10,10,10,10,10
80470,20210100000000,2021-01-12,434914,James,10/3/2011,f,Neutral Bay,North Sydney,Entire townhouse,Entire home/apt,5,400,t,30,6,100,10,9,10,9,10
86853,20210100000000,2021-01-14,476047,Ann,31/3/2011,t,Bondi,Waverley,Entire apartment,Entire home/apt,4,196,t,29,117,92,9,9,10,9,9
87709,20210100000000,2021-01-13,480315,Marianne,3/4/2011,f,,Northern Beaches,Private room in house,Private room,1,70,t,0,30,99,10,10,10,10,10
103273,20210100000000,2021-01-14,172878,Christopher,19/7/2010,f,North Bondi,Waverley,Entire apartment,Entire home/apt,4,247,t,15,65,90,9,9,10,10,9
105938,20210100000000,2021-01-10,549372,Susanne,1/5/2011,t,,Northern Beaches,Entire house,Entire home/apt,4,293,t,1,12,100,10,10,10,10,10
118658,20210100000000,2021-01-14,599232,James,18/5/2011,f,North Bondi,Waverley,Entire apartment,Entire home/apt,4,225,t,30,5,87,9,9,8,8,8
130970,20210100000000,2021-01-14,644516,Mel,30/5/2011,t,Redfern,Sydney,Private room in townhouse,Private room,2,66,t,1,344,97,10,10,10,10,10
132194,20210100000000,2021-01-13,640406,Jared,29/5/2011,f,,The Hills Shire,Private room in house,Private room,1,90,t,30,0,,,,,,
143280,20210100000000,2021-01-14,695349,Family Team -,13/6/2011,t,,Northern Beaches,Entire house,Entire home/apt,7,240,t,0,33,93,9,9,10,10,9
153444,20210100000000,2021-01-12,733574,Tobias,22/6/2011,f,Potts Point,Sydney,Entire apartment,Entire home/apt,2,80,t,0,221,95,10,10,10,10,10
166468,20210100000000,2021-01-12,519216,Godelieve,18/4/2011,f,,Northern Beaches,Private room in apartment,Private room,1,158,t,29,18,89,9,9,9,9,9
196157,20210100000000,2021-01-14,954713,Gill,11/8/2011,t,,Northern Beaches,Private room in house,Private room,2,55,t,5,46,96,10,9,10,10,10
196170,20210100000000,2021-01-12,954703,Diana & Lorenzo,11/8/2011,f,Bondi,Waverley,Entire apartment,Entire home/apt,2,102,t,0,7,97,10,10,10,10,9
199043,20210100000000,2021-01-10,972136,Marty,15/8/2011,f,Rosebery,Sydney,Private room in apartment,Private room,2,74,t,29,71,96,9,10,10,10,10
199669,20210100000000,2021-01-13,975349,Susie,15/8/2011,t,Bondi Beach,Waverley,Entire house,Entire home/apt,5,295,t,0,6,96,10,9,10,10,9
200868,20210100000000,2021-01-14,972136,Marty,15/8/2011,f,Rosebery,Randwick,Private room in apartment,Private room,2,67,t,0,60,94,9,9,10,10,9
210439,20210100000000,2021-01-13,519412,Sarah,18/4/2011,f,Randwick,Sydney,Entire apartment,Entire home/apt,2,110,t,0,19,96,10,9,9,10,9
219030,20210100000000,2021-01-13,490291,Ingrid,6/4/2011,f,Bondi,Waverley,Entire apartment,Entire home/apt,6,379,t,0,81,87,9,8,10,9,9
225478,20210100000000,2021-01-14,1174760,Christian,18/9/2011,f,,Sutherland Shire,Entire house,Entire home/apt,6,580,t,0,13,95,10,10,10,10,9
226202,20210100000000,2021-01-12,324467,Greg,21/12/2010,f,Coogee,Randwick,Entire apartment,Entire home/apt,4,129,t,0,2,90,10,10,10,10,10
230108,20210100000000,2021-01-13,695202,Donny,13/6/2011,f,,Northern Beaches,Entire apartment,Entire home/apt,4,120,t,1,4,80,9,7,9,10,9
232188,20210100000000,2021-01-12,695349,Family Team -,13/6/2011,t,,Northern Beaches,Entire house,Entire home/apt,8,300,t,11,128,97,10,10,10,10,10
232782,20210100000000,2021-01-14,1012161,Kirsteen,23/8/2011,f,Redfern,Sydney,Entire loft,Entire home/apt,4,110,t,0,21,92,9,9,10,10,9
236590,20210100000000,2021-01-12,1240169,Margaret,3/10/2011,f,,Blacktown,Entire apartment,Entire home/apt,2,120,t,0,32,98,10,10,10,10,10
249158,20210100000000,2021-01-13,1305383,MadeComfy,18/10/2011,f,Ultimo,Sydney,Entire apartment,Entire home/apt,2,158,t,1,97,91,9,9,9,9,9
249998,20210100000000,2021-01-11,1310233,Stefanie,19/10/2011,f,Bondi Junction,Waverley,Entire apartment,Entire home/apt,4,250,t,0,14,100,10,10,10,10,10
250821,20210100000000,2021-01-11,299170,Eilish,25/11/2010,t,Bondi Beach,Waverley,Entire apartment,Entire home/apt,2,180,t,0,3,90,9,9,9,10,8
252427,20210100000000,2021-01-12,1214840,Jenni,27/9/2011,f,Coogee,Randwick,Entire apartment,Entire home/apt,2,130,t,0,12,98,10,10,10,10,10
255059,20210100000000,2021-01-12,1340280,Sally,27/10/2011,f,Newtown,Inner West,Entire house,Entire home/apt,8,337,t,28,15,98,10,9,10,10,9
255090,20210100000000,2021-01-11,1340540,Tommy,27/10/2011,f,Darling Point,Woollahra,Entire apartment,Entire home/apt,3,75,t,0,17,82,8,8,9,9,8
257847,20210100000000,2021-01-12,1356919,Laelie,31/10/2011,f,,Sutherland Shire,Entire house,Entire home/apt,6,325,t,14,26,98,10,10,10,10,10
259857,20210100000000,2021-01-14,673365,Marie,7/6/2011,t,Camperdown,Inner West,Private room in house,Private room,2,110,t,0,158,97,10,10,10,10,10
264513,20210100000000,2021-01-13,1387801,Kristin,9/11/2011,f,Willoughby,Willoughby,Entire house,Entire home/apt,9,800,t,1,33,93,9,9,10,10,9
264925,20210100000000,2021-01-14,1389838,Sophie & Todd,9/11/2011,f,North Bondi,Waverley,Entire apartment,Entire home/apt,6,600,t,0,10,95,9,9,10,10,9
271182,20210100000000,2021-01-14,140484,Bronwyn,8/6/2010,f,Newtown,Sydney,Entire loft,Entire home/apt,4,130,t,0,40,100,10,9,10,10,10
273477,20210100000000,2021-01-11,1427173,Liora,20/11/2011,f,North Bondi,Waverley,Entire house,Entire home/apt,6,385,t,30,1,100,10,10,10,10,10
273673,20210100000000,2021-01-14,1431845,Sebastien,22/11/2011,f,Maroubra,Randwick,Private room in house,Private room,1,131,t,30,0,,,,,,
275607,20210100000000,2021-01-11,1440732,Jacqui,25/11/2011,f,Bondi,Waverley,Entire apartment,Entire home/apt,4,450,t,11,13,92,10,10,10,10,9
275625,20210100000000,2021-01-12,1440754,Lynda,25/11/2011,f,Randwick,Randwick,Private room in condominium,Private room,2,75,t,1,52,97,10,10,10,10,10
276617,20210100000000,2021-01-14,1261500,Hugh,7/10/2011,t,Potts Point,Sydney,Entire apartment,Entire home/apt,4,123,t,0,276,95,10,10,10,10,9
283378,20210100000000,2021-01-13,1475640,Joe,5/12/2011,f,Darlinghurst,Sydney,Private room in apartment,Private room,2,275,t,0,0,,,,,,
286949,20210100000000,2021-01-14,1493019,Adrian,11/12/2011,f,Dover Heights,Waverley,Entire house,Entire home/apt,4,278,t,0,2,100,10,10,10,10,10
288305,20210100000000,2021-01-12,1499005,Malou,12/12/2011,f,Sydney,Blacktown,Private room in house,Private room,4,45,t,23,17,91,9,9,9,9,9
288359,20210100000000,2021-01-12,1499246,Coleen,12/12/2011,f,Newtown,Inner West,Private room in house,Private room,2,90,t,2,47,96,10,9,10,10,9
288671,20210100000000,2021-01-13,241834,Sonke,21/9/2010,f,Darlinghurst,Sydney,Entire loft,Entire home/apt,2,220,t,29,27,96,10,9,10,10,9
290146,20210100000000,2021-01-11,113874,Bondi Beach Holiday Homes,26/4/2010,f,Bellevue Hill,Woollahra,Entire apartment,Entire home/apt,6,233,t,26,27,91,10,9,10,10,9
290929,20210100000000,2021-01-12,1508328,Edwina,15/12/2011,f,Paddington,Woollahra,Entire apartment,Entire home/apt,4,240,t,0,6,97,10,9,10,9,9
291782,20210100000000,2021-01-11,107189,Gab,12/4/2010,f,Bondi Junction,Waverley,Private room in house,Private room,1,63,t,0,6,93,10,8,10,10,10
293951,20210100000000,2021-01-14,1520375,Carrie,20/12/2011,f,Bondi Beach,Waverley,Entire apartment,Entire home/apt,2,249,t,0,1,100,10,8,10,10,6
299749,20210100000000,2021-01-12,1544990,Lucy,28/12/2011,f,Balgowlah,Northern Beaches,Entire apartment,Entire home/apt,2,120,t,0,7,94,9,10,10,10,10
318591,20210100000000,2021-01-11,1634967,Kathy,21/1/2012,f,Glebe,Sydney,Entire house,Entire home/apt,6,300,t,0,71,96,10,9,10,10,10
324918,20210100000000,2021-01-13,1596898,Gretchen,11/1/2012,f,Erskineville,Sydney,Entire house,Entire home/apt,6,50,t,0,6,92,10,10,10,10,9
